Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.00729513	0.00311279	0.0170281	0.0242331	0.051785	
2	0.00762796	0.00328183	0.0174322	0.025903	0.054364	
3	0.00762796	0.00311208	0.0139999	0.020268	0.045094	
4	0.00764704	0.00311804	0.015456	0.0222859	0.0486	
5	0.00775003	0.00314689	0.0152781	0.022454	0.048723	
6	0.00763297	0.00329208	0.015883	0.0232861	0.0501912	
7	0.00762606	0.00362277	0.0147781	0.021312	0.047431	
8	0.00766897	0.00320816	0.0154619	0.0226891	0.049124	
9	0.00762701	0.00299001	0.013077	0.0196359	0.0434101	
10	0.00750399	0.00281906	0.0119321	0.0167789	0.039104	
11	0.00757504	0.0057528	0.0145762	0.0206199	0.04861	
12	0.00753617	0.00305605	0.0141258	0.0206201	0.0454271	
13	0.00760412	0.00299382	0.0136962	0.0199368	0.0443161	
14	0.00755596	0.00294018	0.0133979	0.018801	0.0427771	
15	0.0075531	0.00300097	0.0132749	0.019208	0.0431221	
16	0.00757408	0.00302005	0.0138988	0.0204191	0.0450001	
17	0.00751591	0.00297499	0.0136161	0.019295	0.0434849	
18	0.00754714	0.00282288	0.0125301	0.016983	0.0399551	
19	0.00751686	0.00285196	0.0125871	0.017483	0.040514	
20	0.00758505	0.00293994	0.0125999	0.0179212	0.0411229	
21	0.00767612	0.00301695	0.014127	0.0189779	0.0438771	
22	0.0074389	0.00293207	0.0136709	0.0183439	0.0424659	
23	0.00748801	0.00278497	0.011138	0.015528	0.0370069	
24	0.00752115	0.0027349	0.0109601	0.0153968	0.036679	
25	0.00744319	0.00276399	0.011436	0.0155909	0.037302	
26	0.00746679	0.00279903	0.0126121	0.016705	0.0396528	
27	0.00740886	0.00283909	0.011775	0.01671	0.038805	
28	0.00746322	0.00276589	0.0115581	0.0154788	0.0373311	
29	0.00738597	0.00278091	0.0112891	0.0155768	0.0370998	
30	0.00747991	0.00294995	0.0123022	0.016989	0.0397949	
31	0.00758219	0.00301099	0.013387	0.019551	0.0436141	
32	0.00749993	0.00299001	0.0139151	0.0200331	0.044524	
33	0.00749493	0.00307608	0.0138631	0.0200748	0.044596	
34	0.00770497	0.00320196	0.015826	0.023571	0.050401	
35	0.00765204	0.00319386	0.0162852	0.0238898	0.051136	
36	0.00761199	0.00326085	0.016957	0.0250401	0.052978	
37	0.00763583	0.00326014	0.0169389	0.0253551	0.053313	
38	0.00764084	0.00333714	0.0179179	0.0264201	0.0554299	
39	0.00770211	0.00333285	0.0180452	0.0271161	0.0563271	
40	0.00773787	0.00332499	0.01861	0.0276351	0.0574419	
41	0.00773907	0.00340891	0.0196321	0.0290849	0.0600059	
42	0.00770378	0.0034461	0.0196919	0.02915	0.0601339	
43	0.00775099	0.00338292	0.0189261	0.027828	0.0580239	
44	0.00776291	0.00330305	0.0180469	0.0267842	0.0560119	
45	0.00783801	0.00342011	0.018548	0.027699	0.0576401	
46	0.00789809	0.00371099	0.0224178	0.033345	0.0675349	
47	0.00778294	0.00358391	0.0216181	0.0324049	0.0655489	
48	0.00786114	0.00360298	0.0220361	0.033458	0.0671191	
49	0.00771213	0.00310183	0.014426	0.0218351	0.0471649	
50	0.00793886	0.00370598	0.0237181	0.035475	0.0710099	
51	0.00783396	0.00354314	0.020679	0.0309711	0.063179	
52	0.00787306	0.00363302	0.0221331	0.0333028	0.0671031	
53	0.0078609	0.00332403	0.0175381	0.025893	0.0547419	
54	0.00816488	0.00394607	0.0268431	0.04091	0.0800641	
55	0.00817108	0.00389981	0.0253801	0.0380728	0.0757089	
56	0.00818706	0.00399089	0.0265231	0.04055	0.0794489	
57	0.00801206	0.00360012	0.0199008	0.0298531	0.0615182	
58	0.00829005	0.00368881	0.0212572	0.032186	0.0655799	
59	0.008569	0.00458288	0.0360219	0.056232	0.105681	
60	0.00857902	0.00441813	0.0321019	0.0499351	0.0952771	
61	0.00869894	0.00488615	0.0398679	0.062813	0.116572	
62	0.00863814	0.00473881	0.037035	0.058033	0.108729	
63	0.00878596	0.00496292	0.042238	0.06639	0.122701	
64	0.00885701	0.00493097	0.0428579	0.0658741	0.122841	
65	0.00888205	0.00497794	0.043458	0.068675	0.126327	
66	0.00883102	0.00503588	0.043364	0.068284	0.125848	
67	0.00888395	0.00503206	0.043319	0.0683739	0.125941	
68	0.00882006	0.00505805	0.0440331	0.069387	0.127635	
69	0.00889087	0.00500822	0.043196	0.067919	0.125346	
70	0.008883	0.00502491	0.0433331	0.0678129	0.125382	
71	0.00884795	0.00500488	0.042124	0.06651	0.12281	
72	0.00884295	0.00507188	0.0430291	0.0678711	0.125147	
73	0.00883508	0.00506902	0.042846	0.067353	0.124432	
74	0.00894213	0.00508308	0.0432699	0.0681829	0.12581	
75	0.00899601	0.00512695	0.04391	0.069381	0.127752	
76	0.00897908	0.005229	0.04527	0.0718079	0.131639	
77	0.0089879	0.00527811	0.0457039	0.0728471	0.13317	
78	0.00901318	0.005265	0.0464859	0.073621	0.134744	
79	0.00907993	0.00523305	0.0455301	0.072119	0.132321	
80	0.00910497	0.00533199	0.046982	0.0743649	0.136147	
81	0.00906992	0.00536418	0.0478089	0.0760171	0.138629	
82	0.00907087	0.00536513	0.0469499	0.074616	0.136366	
83	0.00911188	0.00530696	0.046555	0.073976	0.135308	
84	0.00912595	0.0052669	0.045666	0.0722101	0.132622	
85	0.00911808	0.00533199	0.0472529	0.0748081	0.136875	
86	0.00908804	0.00537181	0.0471032	0.0747218	0.136649	
87	0.00910997	0.00539494	0.0476031	0.075489	0.137965	
88	0.00913811	0.00535798	0.046957	0.0746188	0.136436	
89	0.00916696	0.00531197	0.047667	0.0757039	0.138219	
90	0.00913596	0.00538397	0.0478151	0.0760279	0.138733	
91	0.00914001	0.00536418	0.0480158	0.076401	0.139292	
92	0.0091331	0.00535798	0.04703	0.0747089	0.136594	
93	0.00914097	0.00528598	0.046608	0.0741119	0.135511	
94	0.00915623	0.00534582	0.047538	0.075587	0.137993	
95	0.00916791	0.00544	0.048362	0.076896	0.14024	
96	0.009197	0.00539303	0.0476718	0.0759149	0.138548	
97	0.00916696	0.00537109	0.047894	0.0759139	0.138716	
98	0.009166	0.00533414	0.047282	0.0745568	0.136701	
99	0.00914788	0.00534701	0.046767	0.0745492	0.136173	
100	0.00918102	0.00542688	0.0465779	0.0737312	0.135277	
101	0.009161	0.00533605	0.0463619	0.073859	0.135077	
102	0.00916219	0.00520897	0.043932	0.069638	0.12828	
103	0.00919819	0.005265	0.0449338	0.0713282	0.131072	
104	0.00917721	0.00525594	0.045692	0.072634	0.133111	
105	0.00921202	0.00536013	0.046958	0.0747271	0.136624	
106	0.00921011	0.00537205	0.045773	0.072567	0.133276	
107	0.0091939	0.0053091	0.045507	0.0722561	0.132617	
108	0.00918388	0.00526714	0.0446029	0.0708189	0.130216	
109	0.00913	0.00519395	0.042834	0.067971	0.125459	
110	0.00922489	0.00524807	0.0445869	0.0711331	0.130539	
111	0.00918508	0.00529385	0.044348	0.0703862	0.129557	
112	0.009197	0.00521493	0.044193	0.0707989	0.12974	
113	0.00922894	0.00519013	0.0459089	0.072612	0.133283	
114	0.00917482	0.00520802	0.045079	0.0714779	0.131278	
115	0.00920916	0.00535393	0.047353	0.0745449	0.136814	
116	0.00914121	0.00513887	0.043942	0.068599	0.127147	
117	0.00916815	0.00530386	0.0448201	0.0710161	0.130655	
118	0.00917888	0.00509715	0.042347	0.0672429	0.124192	
119	0.00917411	0.00513196	0.0428319	0.068522	0.125991	
120	0.00907516	0.00491881	0.0386691	0.061306	0.114268	
121	0.00896096	0.0047121	0.0345299	0.0544782	0.102945	
122	0.00904512	0.00471902	0.0352669	0.0556149	0.104916	
123	0.00902987	0.00471711	0.0350459	0.0551262	0.104188	
124	0.00909805	0.00487995	0.0384152	0.060586	0.113275	
125	0.00914598	0.00493693	0.0383542	0.060658	0.11339	
126	0.00910091	0.00502419	0.0394368	0.0622542	0.116121	
127	0.00905108	0.00500107	0.0393279	0.062175	0.115857	
128	0.00911307	0.00501394	0.0393469	0.0623221	0.116099	
129	0.00905991	0.00505114	0.0396788	0.062772	0.116866	
130	0.00907588	0.00502801	0.0401251	0.0634949	0.118033	
131	0.00908995	0.00505185	0.039752	0.0626838	0.116885	
132	0.00908899	0.00510621	0.0411248	0.0645339	0.120167	
133	0.0090251	0.00505185	0.0393221	0.0621748	0.115875	
134	0.00906205	0.00498104	0.0381598	0.0602942	0.11279	
135	0.00911593	0.00505805	0.040416	0.0641279	0.119029	
136	0.00914598	0.0050931	0.0407031	0.0643928	0.119648	
137	0.00914788	0.00511217	0.0410359	0.0644991	0.120111	
138	0.00913119	0.00513101	0.0406399	0.0643179	0.119534	
