Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.02314	0.02263	0.014667	0.0335369	0.0941839	
2	0.0241401	0.0227969	0.015039	0.0294631	0.091644	
3	0.0252759	0.0234082	0.0135629	0.0246551	0.087075	
4	0.0246	0.0215969	0.014075	0.0274692	0.087929	
5	0.0238259	0.022748	0.013777	0.0251811	0.085711	
6	0.0233982	0.02263	0.013864	0.0261979	0.0863531	
7	0.024332	0.023577	0.0142171	0.02493	0.0872741	
8	0.0250831	0.0225389	0.013967	0.0264368	0.0882351	
9	0.0247319	0.0229001	0.013273	0.021801	0.0828829	
10	0.0247178	0.0214441	0.012332	0.0188918	0.0775139	
11	0.02459	0.0227258	0.0135071	0.0287631	0.0898058	
12	0.0245211	0.0231161	0.0137019	0.0247841	0.0863051	
13	0.0243471	0.0225079	0.013196	0.0231061	0.0833261	
14	0.0246129	0.0226891	0.013036	0.022141	0.082685	
15	0.024399	0.0228801	0.0131371	0.0221779	0.0827491	
16	0.0242832	0.0225849	0.013382	0.0231869	0.0836101	
17	0.0238571	0.0225649	0.0132792	0.0221491	0.0820081	
18	0.0239851	0.023078	0.0123899	0.02037	0.0800562	
19	0.027674	0.0233891	0.013083	0.0201299	0.084419	
20	0.0246649	0.0222321	0.01353	0.0222261	0.0828071	
21	0.0248101	0.0232089	0.013242	0.0279989	0.0894091	
22	0.0245979	0.0230482	0.012624	0.0203319	0.0807569	
23	0.0244062	0.0228958	0.0123451	0.0197961	0.0795791	
24	0.0245919	0.0223939	0.0121522	0.0182638	0.077543	
25	0.0244429	0.022305	0.012722	0.018625	0.0782728	
26	0.024868	0.021987	0.0127139	0.019907	0.079608	
27	0.0249369	0.0228701	0.012265	0.020293	0.0804949	
28	0.024276	0.0220912	0.0120769	0.018487	0.0770791	
29	0.0241601	0.0227809	0.012187	0.019186	0.0784581	
30	0.0252819	0.022372	0.0124762	0.0199599	0.0802879	
31	0.0243928	0.0221622	0.0133998	0.0231681	0.0833209	
32	0.024442	0.0183802	0.013135	0.0233049	0.079417	
33	0.024117	0.018142	0.0134401	0.0246599	0.080519	
34	0.0245049	0.0163381	0.014437	0.0248809	0.0803339	
35	0.0243528	0.0198612	0.0155969	0.026942	0.0869448	
36	0.0250931	0.0196011	0.015306	0.027838	0.0880752	
37	0.0243089	0.0197852	0.014854	0.027688	0.08688	
38	0.024051	0.0198221	0.0156081	0.0293789	0.0890791	
39	0.024065	0.0203009	0.015764	0.0315201	0.091918	
40	0.0243361	0.019722	0.019006	0.0330741	0.0964351	
41	0.0240731	0.0201058	0.017658	0.0326979	0.09478	
42	0.0277488	0.019747	0.0180762	0.032954	0.098763	
43	0.0245762	0.019624	0.015429	0.03074	0.0906122	
44	0.024622	0.0195642	0.0152359	0.029701	0.0893281	
45	0.0244148	0.0192182	0.0158298	0.0316348	0.0913448	
46	0.0250409	0.0209641	0.018702	0.036612	0.101619	
47	0.024554	0.0205109	0.0176601	0.0360372	0.0990651	
48	0.0249019	0.0212531	0.017545	0.0365729	0.100532	
49	0.02457	0.019052	0.0127978	0.0215478	0.0781391	
50	0.025758	0.021085	0.019032	0.041245	0.107463	
51	0.0254619	0.0192499	0.016778	0.0402658	0.101999	
52	0.0294461	0.0187609	0.016989	0.035255	0.100718	
53	0.0245259	0.019949	0.0150461	0.026835	0.0865819	
54	0.0247791	0.018714	0.0206251	0.044683	0.109139	
55	0.0249372	0.0212409	0.0178289	0.03861	0.10301	
56	0.0261102	0.0206499	0.021136	0.042599	0.110804	
57	0.0243752	0.0193329	0.0151241	0.028285	0.087317	
58	0.024802	0.0205381	0.015111	0.029588	0.0902939	
59	0.0251091	0.0218761	0.0273728	0.058784	0.133871	
60	0.029824	0.021364	0.0220959	0.0519981	0.125761	
61	0.025228	0.0213091	0.0294809	0.0685651	0.145149	
62	0.0244081	0.0210371	0.0242209	0.060271	0.130393	
63	0.024122	0.0221369	0.0295682	0.0742779	0.150711	
64	0.025038	0.0211701	0.028506	0.0722289	0.147554	
65	0.0247951	0.022366	0.030138	0.0749478	0.152874	
66	0.026197	0.0222862	0.0288558	0.0749729	0.15302	
67	0.025245	0.021615	0.0303671	0.076252	0.154105	
68	0.0244169	0.021569	0.030633	0.075444	0.152643	
69	0.02579	0.0214219	0.0278881	0.0748041	0.150517	
70	0.0240428	0.022413	0.0273261	0.072242	0.146634	
71	0.0239358	0.0217962	0.0275559	0.0731001	0.146996	
72	0.0240259	0.0216219	0.028367	0.0753841	0.149965	
73	0.0241179	0.0214801	0.028332	0.0752981	0.149843	
74	0.024317	0.0211241	0.0279219	0.075067	0.149051	
75	0.0251431	0.0213549	0.0323579	0.0783489	0.157931	
76	0.028796	0.019768	0.030947	0.0790901	0.159263	
77	0.024374	0.02156	0.031364	0.080231	0.158233	
78	0.0242331	0.0217829	0.029289	0.0799289	0.155905	
79	0.0244329	0.021373	0.031143	0.0823872	0.159943	
80	0.0242832	0.0221689	0.0320821	0.081784	0.16093	
81	0.0244141	0.0219541	0.0321209	0.0836141	0.162791	
82	0.024518	0.0217161	0.0295429	0.0818632	0.158249	
83	0.0248408	0.0212681	0.0317841	0.0833089	0.161839	
84	0.0244792	0.0219128	0.028722	0.0785072	0.15421	
85	0.0243971	0.022217	0.0299208	0.0827842	0.159941	
86	0.0243161	0.0224781	0.029361	0.081543	0.158314	
87	0.0251279	0.02175	0.029892	0.0820818	0.159481	
88	0.024502	0.0221641	0.0301731	0.0831559	0.160619	
89	0.0253	0.0206289	0.0303662	0.0821929	0.159121	
90	0.0244279	0.021337	0.032299	0.0861611	0.164861	
91	0.024143	0.0219891	0.030062	0.083586	0.160412	
92	0.0248618	0.0211501	0.0301099	0.0833318	0.160099	
93	0.0238531	0.021646	0.030447	0.080111	0.156653	
94	0.02425	0.0219269	0.030349	0.0819151	0.159064	
95	0.0243082	0.0210588	0.0301242	0.0828679	0.158987	
96	0.024611	0.0215099	0.030462	0.0835409	0.160749	
97	0.0245621	0.021889	0.032692	0.0845592	0.164435	
98	0.0240231	0.023634	0.0315981	0.082962	0.162873	
99	0.0266371	0.022902	0.031152	0.083287	0.164579	
100	0.024519	0.0218379	0.030062	0.0799098	0.156978	
101	0.025811	0.022543	0.0295591	0.0795519	0.158272	
102	0.0276449	0.021807	0.0283141	0.0749261	0.153599	
103	0.0270271	0.0210679	0.0290151	0.0754449	0.153372	
104	0.0444272	0.029547	0.0313618	0.0764649	0.182544	
105	0.0269978	0.0215502	0.029968	0.080539	0.159863	
106	0.0303378	0.0235152	0.030288	0.0820479	0.166935	
