Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.00960207	0.00372696	0.033535	0.0508771	0.0978491	
2	0.00905395	0.00413895	0.0358851	0.052757	0.101947	
3	0.00891304	0.00416684	0.0291262	0.0421479	0.0844331	
4	0.0090301	0.00419593	0.031888	0.0464399	0.0916409	
5	0.0091629	0.00413299	0.0323792	0.0464449	0.092207	
6	0.00902987	0.00411916	0.0324969	0.0479062	0.0936439	
7	0.00888586	0.004215	0.0308781	0.0449882	0.0890529	
8	0.00894403	0.00426698	0.0322971	0.047092	0.09269	
9	0.00906682	0.00396013	0.0278149	0.0399911	0.080909	
10	0.00884604	0.00406003	0.0244629	0.0342221	0.0716569	
11	0.00887704	0.00417805	0.0296938	0.0429702	0.0858009	
12	0.00917315	0.00417089	0.030911	0.0446582	0.0889971	
13	0.00900102	0.00406289	0.029515	0.0425751	0.085237	
14	0.00963402	0.00361609	0.0268991	0.040509	0.0807352	
15	0.00886607	0.0039289	0.0290921	0.041235	0.0832	
16	0.00882196	0.00392413	0.0303638	0.043349	0.0865409	
17	0.00887179	0.00385523	0.0291159	0.041518	0.0834398	
18	0.00896001	0.00396705	0.0256031	0.0357988	0.0743971	
19	0.0088222	0.00386596	0.026643	0.0375588	0.0769632	
20	0.00883317	0.00407481	0.027215	0.038722	0.078918	
21	0.00877619	0.00391102	0.0267048	0.038861	0.0783281	
22	0.00897193	0.00402999	0.02772	0.039439	0.080235	
23	0.00874901	0.00405788	0.0243101	0.0333869	0.0705678	
24	0.00887704	0.0038569	0.023541	0.0326591	0.068996	
25	0.00882506	0.00366688	0.023931	0.0331671	0.069653	
26	0.00865507	0.00388384	0.025202	0.0346839	0.0724909	
27	0.00886297	0.0039041	0.0258889	0.035857	0.0745811	
28	0.00880003	0.00391793	0.0236032	0.0325999	0.0689831	
29	0.00871491	0.00402594	0.0240571	0.0330749	0.069936	
30	0.00870991	0.00409198	0.0260952	0.036582	0.0755479	
31	0.00888801	0.00415993	0.029268	0.0417931	0.0841889	
32	0.00901008	0.0038929	0.0299511	0.0429029	0.085839	
33	0.00874496	0.00394797	0.030323	0.0433011	0.0863998	
34	0.00883603	0.00395393	0.033345	0.0477011	0.0939269	
35	0.00908995	0.004035	0.0351899	0.0513539	0.0997899	
36	0.00923991	0.00408411	0.0365739	0.053829	0.103828	
37	0.00886178	0.00408721	0.0373118	0.055567	0.105931	
38	0.00897479	0.00413299	0.0386312	0.0569799	0.108827	
39	0.00918412	0.00404811	0.039315	0.058455	0.111124	
40	0.00900888	0.00423217	0.0400648	0.0592821	0.112713	
41	0.0090909	0.00425291	0.0421951	0.0636821	0.119353	
42	0.00923586	0.00414801	0.0429502	0.0630589	0.119524	
43	0.00906587	0.004318	0.0404291	0.0603969	0.114335	
44	0.009197	0.00403595	0.038995	0.0576119	0.109948	
45	0.00910997	0.00411892	0.0405631	0.060353	0.114271	
46	0.00918388	0.00435209	0.047905	0.0726981	0.134291	
47	0.00913501	0.0043211	0.046869	0.070812	0.131285	
48	0.00938487	0.00430608	0.0474651	0.0719528	0.133261	
49	0.0092752	0.00385499	0.0305948	0.0449941	0.0888031	
50	0.00923014	0.00440001	0.050817	0.0770378	0.141646	
51	0.00913	0.00440502	0.0445209	0.0678351	0.126032	
52	0.00919795	0.00433683	0.0475171	0.0720592	0.133261	
53	0.00915003	0.004143	0.0373199	0.0561271	0.106857	
54	0.00946188	0.004632	0.058043	0.089148	0.161469	
55	0.00949383	0.00458813	0.0538731	0.0829608	0.151088	
56	0.00973201	0.00465989	0.0572021	0.0882959	0.160074	
57	0.0093658	0.0043292	0.0429559	0.0648179	0.121604	
58	0.00969005	0.00438714	0.045542	0.070015	0.129779	
59	0.00987792	0.00530314	0.078603	0.122608	0.216646	
60	0.00988483	0.00506306	0.0697241	0.108206	0.193104	
61	0.0100119	0.00558209	0.0872669	0.136594	0.239737	
62	0.0099721	0.00547791	0.0810089	0.12679	0.223511	
63	0.010401	0.005898	0.0929511	0.144849	0.254399	
64	0.0102031	0.00566387	0.0916491	0.143633	0.25148	
65	0.010762	0.005481	0.0957539	0.149577	0.261884	
66	0.0103121	0.00565982	0.0949361	0.148927	0.260143	
67	0.0101891	0.00568795	0.0952871	0.148549	0.260021	
68	0.010155	0.00577688	0.096494	0.15127	0.26401	
69	0.0102589	0.00567412	0.0944939	0.148041	0.258776	
70	0.0102441	0.0057559	0.0942321	0.147625	0.258163	
71	0.0102742	0.00559998	0.0923219	0.144712	0.253208	
72	0.0102952	0.00576091	0.094609	0.148073	0.259045	
73	0.0101731	0.00579596	0.0936761	0.14688	0.256829	
74	0.0102718	0.0056932	0.0951519	0.148199	0.259626	
75	0.010345	0.00571799	0.0962241	0.151066	0.263667	
76	0.010386	0.00591397	0.099267	0.155952	0.271842	
77	0.010421	0.00592184	0.100668	0.157886	0.275224	
78	0.0108109	0.00593615	0.102209	0.160504	0.279792	
79	0.010443	0.00581694	0.100025	0.157078	0.27369	
80	0.010514	0.00610399	0.103531	0.161663	0.282148	
81	0.0104749	0.00601697	0.105629	0.165342	0.287805	
82	0.0104408	0.00594807	0.103451	0.162643	0.282819	
83	0.0105009	0.00605917	0.102661	0.161173	0.280728	
