Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.007689	0.00179601	0.0037601	0.000349045	0.013612	
2	0.00794411	0.00184989	0.00373292	0.000365019	0.0139091	
3	0.00780392	0.00176716	0.00296187	0.000274897	0.0128191	
4	0.00803685	0.00177503	0.00302792	0.000254869	0.013109	
5	0.00790882	0.00180316	0.00289798	0.000227928	0.012851	
6	0.00795007	0.00177693	0.00292587	0.000240803	0.012907	
7	0.00789499	0.00175381	0.00271201	0.000204086	0.012574	
8	0.00791097	0.00179696	0.00269604	0.000194073	0.012609	
9	0.00787616	0.00173903	0.0024879	0.00018692	0.0122972	
10	0.0077641	0.00176382	0.00231004	0.000123024	0.0119679	
11	0.00784397	0.00177407	0.00267506	0.00018692	0.0124891	
12	0.00784707	0.00176191	0.00272799	0.000225067	0.0125711	
13	0.0078938	0.00174904	0.00267696	0.000184059	0.0125129	
14	0.007833	0.00174212	0.00309896	0.000189066	0.0128729	
15	0.00779104	0.00175905	0.00269794	0.000205994	0.012464	
16	0.00779819	0.00173283	0.00271416	0.000198841	0.012454	
17	0.00774288	0.00175714	0.00263786	0.000188112	0.0123348	
18	0.00783587	0.00177312	0.00256205	0.000167847	0.012347	
19	0.00781298	0.00182319	0.00266695	0.000172853	0.0124841	
20	0.00777793	0.00178599	0.00259805	0.000171185	0.0123429	
21	0.00779796	0.00175786	0.00258613	0.000169039	0.0123188	
22	0.00771785	0.0017271	0.00253296	0.000163078	0.0121489	
23	0.00780296	0.00169897	0.00240707	0.000139952	0.0120549	
24	0.00784588	0.00191212	0.00243282	0.00013113	0.0123289	
25	0.00773787	0.00171304	0.00231719	0.000118971	0.011893	
26	0.0077281	0.00171781	0.00242901	0.000139952	0.012023	
27	0.00767994	0.0017252	0.00235796	0.000123978	0.011893	
28	0.00777888	0.00173306	0.00240493	0.000128984	0.0120518	
29	0.00776005	0.00181293	0.00255108	0.000149965	0.0122809	
30	0.00773692	0.00172305	0.00238395	0.000141144	0.011992	
31	0.0077939	0.00173497	0.00273514	0.000195026	0.01247	
32	0.00770688	0.00174022	0.00252986	0.000152111	0.012136	
33	0.007792	0.00171995	0.00258398	0.000173092	0.0122769	
34	0.00785685	0.00240898	0.00267196	0.000181198	0.0131278	
35	0.00786901	0.00177884	0.00265503	0.00018096	0.0124929	
36	0.00789309	0.00174689	0.00287318	0.000234842	0.012759	
37	0.00781894	0.00175714	0.00275803	0.000203848	0.012548	
38	0.00790095	0.00176311	0.00275207	0.000203848	0.01263	
39	0.00796008	0.00184798	0.00293684	0.000227213	0.0129831	
40	0.00802398	0.00179911	0.00286603	0.00022006	0.0129201	
41	0.00802302	0.00179696	0.00311494	0.000277996	0.0132241	
42	0.00797606	0.00181603	0.00291681	0.000230074	0.0129509	
43	0.00806093	0.00180006	0.00278497	0.000205994	0.012862	
44	0.00800204	0.00177288	0.00281596	0.000213146	0.012815	
45	0.00812984	0.00178313	0.00291204	0.000234842	0.013072	
46	0.00822806	0.00179911	0.00308299	0.000259876	0.0133841	
47	0.00814009	0.00182104	0.00313187	0.00029707	0.0134032	
48	0.00816798	0.00180006	0.00331497	0.000255108	0.01355	
49	0.00797796	0.00173283	0.00241709	0.000132084	0.0122678	
50	0.00826406	0.00180602	0.00313187	0.000270128	0.0134859	
51	0.00805807	0.00181198	0.00286603	0.000218868	0.0129662	
52	0.00822997	0.00178504	0.00296998	0.000236988	0.013236	
53	0.00817299	0.00178695	0.0026381	0.000176907	0.012784	
54	0.00849509	0.00184298	0.00315309	0.000272989	0.0137782	
55	0.00846601	0.00228	0.00299597	0.000247002	0.0140018	
56	0.00850296	0.00183511	0.00305009	0.000253916	0.0136549	
57	0.00836396	0.00173306	0.00265002	0.000176907	0.0129309	
58	0.00859714	0.00177598	0.00254202	0.000158787	0.0130811	
59	0.00896192	0.00184798	0.00327921	0.000288963	0.014395	
60	0.00886583	0.00180316	0.00307989	0.000288963	0.01405	
61	0.00907278	0.00185704	0.0033741	0.000320911	0.0146408	
62	0.00893188	0.00184011	0.00309706	0.000267029	0.0141499	
63	0.00911593	0.00186515	0.00346899	0.000332832	0.014802	
64	0.00926185	0.00187111	0.00346589	0.000375032	0.0149908	
65	0.00923204	0.00186086	0.00349808	0.000344992	0.0149539	
66	0.00918698	0.00211501	0.00353694	0.000367165	0.015224	
67	0.00919008	0.00190806	0.00353789	0.000348091	0.015002	
