Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
1	0.00751996	0.00305986	0.0161951	0.023598	0.0504899	390	
2	0.00769496	0.0031991	0.016593	0.0246871	0.052295	404	
3	0.00764108	0.00300908	0.013418	0.0195839	0.0437391	289	
4	0.00770402	0.00305796	0.014715	0.021805	0.0473769	306	
5	0.00769091	0.00309014	0.014786	0.021543	0.047205	290	
6	0.00766087	0.00307512	0.0154679	0.02232	0.0486209	314	
7	0.00756407	0.00306511	0.0143678	0.0206871	0.0457761	277	
8	0.00759697	0.00309992	0.0154002	0.021946	0.048146	284	
9	0.00757909	0.00290895	0.0129259	0.0185862	0.0420809	221	
10	0.00753403	0.00279307	0.0113089	0.0161631	0.0378771	201	
11	0.00754285	0.00296211	0.0140009	0.0199769	0.0445709	235	
12	0.00763702	0.00300097	0.014102	0.020916	0.0457461	240	
13	0.007581	0.00291395	0.0135641	0.0198991	0.044045	239	
14	0.00754809	0.00284696	0.013376	0.018779	0.0426321	218	
15	0.00756311	0.00289178	0.0132811	0.0191851	0.043004	208	
16	0.00755501	0.00295687	0.0141511	0.020412	0.0451629	210	
17	0.00749803	0.00289106	0.0136619	0.0192809	0.043416	206	
18	0.0075438	0.0027442	0.0122268	0.017	0.0395889	174	
19	0.00749612	0.00277996	0.0125399	0.0174952	0.0403881	191	
20	0.00754094	0.00322795	0.0124941	0.0178299	0.0411708	192	
21	0.00754094	0.00292611	0.0127571	0.0182428	0.0415461	184	
22	0.00746703	0.00285292	0.013078	0.018311	0.0417879	185	
23	0.00751901	0.00274491	0.0114679	0.0155711	0.0373709	183	
24	0.00751901	0.00270414	0.0109808	0.0153601	0.0366302	177	
25	0.00744104	0.00270486	0.012511	0.0154881	0.0382121	190	
26	0.00741506	0.00275087	0.0118091	0.0161979	0.0382462	179	
27	0.00745797	0.00278306	0.0123029	0.016783	0.0393989	157	
28	0.00750303	0.00271392	0.0108411	0.015465	0.036602	155	
29	0.00755095	0.00272799	0.012661	0.015456	0.0384629	176	
30	0.00746989	0.00274014	0.0123639	0.0169699	0.039618	196	
31	0.00756001	0.00293303	0.0134931	0.0193739	0.0434451	212	
32	0.00752187	0.00295711	0.0137661	0.0201368	0.0444698	230	
33	0.0074861	0.00298309	0.0141468	0.0201051	0.0448081	211	
34	0.00757599	0.003016	0.01548	0.022531	0.0487001	211	
35	0.00758004	0.00310588	0.0160949	0.0238731	0.05077	251	
36	0.00760007	0.00320005	0.0169759	0.0250139	0.0529001	240	
37	0.00766611	0.00319099	0.0171189	0.0253251	0.0534241	248	
38	0.00764298	0.00322604	0.017998	0.0264709	0.0554531	269	
39	0.00771809	0.00321984	0.0185549	0.0270901	0.056716	266	
40	0.00769019	0.00323081	0.0186362	0.0275979	0.0572891	281	
41	0.00771308	0.00331306	0.0195949	0.029036	0.0598001	294	
42	0.00770497	0.00334311	0.0195708	0.0291309	0.0598941	274	
43	0.00774503	0.0033021	0.0190718	0.0278151	0.0580711	262	
44	0.00781989	0.00320506	0.017966	0.0268011	0.055908	260	
45	0.0078249	0.00331807	0.018512	0.0277209	0.0575118	294	
46	0.00795317	0.00352502	0.0221839	0.0333531	0.0671792	327	
47	0.00787902	0.00350094	0.0215631	0.032464	0.0655651	310	
48	0.00790596	0.00352907	0.022068	0.0331938	0.0668581	285	
49	0.00775599	0.0030601	0.014251	0.021893	0.0470512	238	
50	0.00801492	0.00359797	0.0233002	0.0355849	0.0706711	320	
51	0.00788808	0.00346684	0.0203671	0.0310609	0.0629351	312	
52	0.00796199	0.00355387	0.0220251	0.033144	0.0668478	301	
53	0.00793195	0.00327611	0.017514	0.025907	0.0547559	331	
54	0.00827312	0.00380707	0.026504	0.0408659	0.0796511	362	
55	0.00822592	0.00376511	0.0249648	0.0380569	0.0752008	392	
56	0.00826097	0.00390506	0.026422	0.0406649	0.0794508	427	
57	0.008039	0.00353599	0.0198929	0.029814	0.061429	294	
58	0.00838208	0.00360298	0.021337	0.0321498	0.06563	354	
59	0.00865579	0.00444818	0.036063	0.056258	0.1057	485	
60	0.00865889	0.00431514	0.0319879	0.0498321	0.095037	474	
61	0.00881481	0.00473619	0.039834	0.0636959	0.117386	554	
62	0.00874186	0.0046072	0.0370269	0.058058	0.108719	526	
63	0.00887299	0.00487494	0.0421832	0.066381	0.122638	556	
64	0.00895786	0.00479794	0.041759	0.0659959	0.121834	570	
65	0.00893593	0.00484705	0.043437	0.0685511	0.126106	613	
66	0.008919	0.00488091	0.0433121	0.068311	0.125759	623	
67	0.00890708	0.00488997	0.0432789	0.068311	0.125722	607	
68	0.00893283	0.00506711	0.043977	0.0695519	0.127868	622	
69	0.00895214	0.0048759	0.0430441	0.0680439	0.125249	582	
70	0.00897312	0.00485802	0.043149	0.0676718	0.124984	602	
71	0.00893998	0.00482702	0.0421069	0.06636	0.122559	538	
72	0.00892401	0.00489497	0.0429821	0.067965	0.125099	621	
73	0.0089221	0.00489998	0.042639	0.0673239	0.124113	597	
74	0.00899696	0.00489712	0.04322	0.0681429	0.125592	618	
75	0.00904298	0.00500107	0.0438468	0.0693541	0.127584	620	
76	0.0091331	0.00505304	0.0451629	0.0715261	0.131226	608	
77	0.00907087	0.00511599	0.0456071	0.072753	0.132901	652	
78	0.00910997	0.00511503	0.0464239	0.0737851	0.134795	661	
79	0.00914502	0.005059	0.0456729	0.0720541	0.132284	600	
80	0.0091939	0.00516415	0.0469329	0.0743761	0.136031	574	
81	0.00915885	0.00518298	0.047766	0.075994	0.138472	679	
82	0.00912809	0.0051949	0.0485411	0.0780699	0.141299	640	
83	0.0091629	0.00621605	0.047724	0.0764492	0.139915	618	
84	0.00925803	0.00515509	0.0476658	0.0749211	0.137351	641	
85	0.009166	0.00517488	0.0486481	0.0771179	0.140473	604	
86	0.00916409	0.00521302	0.0481169	0.0747881	0.137649	656	
87	0.009197	0.0051949	0.0476241	0.075501	0.137886	673	
88	0.009197	0.00518322	0.0491068	0.0747111	0.138564	672	
89	0.00919294	0.00513792	0.047662	0.0755632	0.137928	668	
90	0.00923491	0.00522804	0.048069	0.076035	0.138936	637	
91	0.00920892	0.005198	0.0479271	0.076412	0.13912	675	
92	0.00923109	0.00515103	0.0480218	0.074625	0.137394	677	
93	0.00922012	0.00513887	0.0465581	0.0743768	0.135655	717	
94	0.00926805	0.00517297	0.0474761	0.0755141	0.137804	680	
95	0.00924706	0.00525689	0.0483391	0.0766799	0.139898	655	
96	0.00924587	0.00520921	0.0477748	0.075865	0.138468	663	
97	0.00925183	0.00518703	0.0477221	0.075954	0.138487	648	
98	0.00925303	0.00515389	0.0469539	0.074492	0.136217	659	
99	0.00924206	0.00521493	0.0468199	0.0743909	0.136033	704	
100	0.00926399	0.00521302	0.0466108	0.073698	0.135146	664	
101	0.00922894	0.00515318	0.0463049	0.0736909	0.134737	667	
102	0.00926089	0.00504422	0.0439119	0.0696359	0.128194	659	
103	0.00926208	0.00512886	0.044867	0.071399	0.131005	672	
104	0.00925303	0.00514197	0.0456302	0.0727129	0.133094	686	
105	0.00929618	0.00522184	0.0469391	0.0746579	0.136483	674	
106	0.00928307	0.00520897	0.0456731	0.07254	0.13306	662	
107	0.00929904	0.00513697	0.045608	0.0724061	0.132803	662	
108	0.00926399	0.00511909	0.0445099	0.0709081	0.130151	616	
109	0.00920296	0.00504398	0.0427639	0.0680261	0.125368	626	
110	0.00925899	0.00508499	0.044507	0.0708449	0.130042	662	
111	0.00928092	0.00510502	0.044311	0.070405	0.129448	597	
112	0.00924993	0.00501204	0.0432761	0.068763	0.126638	673	
113	0.00936794	0.0050571	0.0441539	0.070334	0.129257	633	
114	0.00928116	0.00508094	0.043314	0.0689809	0.126997	635	
115	0.00932813	0.00510097	0.0454159	0.072197	0.132397	672	
116	0.00925398	0.00501204	0.0421269	0.067059	0.123781	690	
117	0.00927591	0.00509	0.0446069	0.0710711	0.130392	663	
118	0.00925994	0.00497198	0.042264	0.0674181	0.124245	663	
119	0.00926304	0.00497007	0.0428579	0.068023	0.125446	639	
120	0.00915289	0.00478601	0.0386782	0.061172	0.114087	623	
121	0.00905991	0.00461507	0.0345199	0.0544622	0.102922	533	
122	0.0091331	0.00457501	0.035202	0.0554328	0.104616	520	
123	0.00915408	0.00460291	0.0353901	0.0550468	0.104465	495	
124	0.00916004	0.00475407	0.038322	0.060693	0.113231	506	
125	0.00917411	0.00482082	0.0382731	0.0605059	0.113068	566	
126	0.00918102	0.00488496	0.0400591	0.062242	0.11667	560	
127	0.00914598	0.00482607	0.039746	0.0621278	0.116151	577	
128	0.009161	0.004879	0.039372	0.0621109	0.115827	538	
129	0.00917006	0.00487709	0.0398529	0.0630581	0.117265	550	
130	0.00919294	0.00489712	0.040051	0.063508	0.11796	563	
131	0.00916886	0.00492311	0.039644	0.0626969	0.116739	540	
132	0.009202	0.00496507	0.0408571	0.064424	0.119764	575	
133	0.00918388	0.0048511	0.0393219	0.062149	0.115809	516	
134	0.00913477	0.00485516	0.038168	0.0603051	0.112758	534	
135	0.00918412	0.00493884	0.040375	0.0638442	0.118655	574	
136	0.00920296	0.00494599	0.040668	0.0644801	0.119611	548	
137	0.00921202	0.00496602	0.0406401	0.0644479	0.119589	576	
138	0.00920701	0.00499201	0.0405982	0.0642369	0.119349	529	
139	0.00929403	0.00505805	0.041985	0.0666149	0.123278	564	
140	0.0093019	0.00510693	0.04303	0.06762	0.125389	600	
141	0.00926185	0.00504398	0.0415311	0.065891	0.122051	557	
142	0.00925612	0.00504303	0.041604	0.0660548	0.12228	611	
143	0.00927997	0.00518084	0.042274	0.0670562	0.12412	623	
144	0.00931001	0.00507402	0.043175	0.0688739	0.12677	636	
145	0.00932407	0.00506687	0.043185	0.0686181	0.126529	630	
146	0.00930595	0.00507212	0.042109	0.0669239	0.123738	568	
147	0.00933599	0.00505805	0.0425651	0.0675678	0.124858	576	
148	0.00931883	0.00508404	0.0415611	0.066062	0.122347	606	
149	0.00931287	0.00507021	0.0427618	0.0680981	0.125576	627	
150	0.00932312	0.00510192	0.042151	0.066931	0.123836	605	
151	0.00932598	0.00508499	0.0423212	0.0670679	0.12413	629	
152	0.00932193	0.00506306	0.043005	0.068418	0.126143	614	
153	0.00928307	0.00507402	0.0424759	0.0673311	0.124494	586	
154	0.00928092	0.00506687	0.0418911	0.0667481	0.123312	617	
155	0.00928998	0.00510907	0.0430698	0.068346	0.126151	589	
156	0.00932503	0.00506902	0.041959	0.0668709	0.123551	606	
157	0.00931597	0.0050571	0.0419369	0.0665948	0.123232	596	
158	0.00932217	0.00510979	0.0418181	0.0665019	0.123076	581	
159	0.00930405	0.00511789	0.04214	0.0667272	0.123613	625	
160	0.00930095	0.00509596	0.0440571	0.0667529	0.125529	662	
161	0.00927591	0.00512695	0.043278	0.0696781	0.127685	594	
162	0.00927997	0.00514317	0.043026	0.068517	0.126292	586	
163	0.00935006	0.00511599	0.0444629	0.0702209	0.129484	626	
164	0.00929284	0.00516701	0.0444221	0.0701358	0.129352	634	
165	0.00931215	0.00514483	0.0442882	0.0701289	0.129209	649	
166	0.00927997	0.00512195	0.0419822	0.0667078	0.123419	576	
167	0.00930381	0.00511312	0.0425301	0.0675879	0.124867	642	
168	0.00930309	0.00507188	0.0419462	0.0676849	0.124334	635	
169	0.00924206	0.00510907	0.041631	0.0658059	0.122109	650	
170	0.00932312	0.00510097	0.0421419	0.0666721	0.123565	582	
171	0.00924802	0.00505686	0.0414732	0.0658	0.121901	644	
172	0.0092392	0.00505781	0.0419662	0.0665329	0.123118	576	
173	0.0092001	0.00502801	0.040766	0.0647528	0.120069	624	
174	0.00918508	0.00503397	0.0412591	0.065372	0.12117	594	
175	0.0091629	0.004951	0.0392349	0.062129	0.115781	524	
176	0.00910187	0.00487518	0.0383089	0.0606101	0.113194	526	
177	0.00907421	0.00484681	0.0378621	0.0597401	0.111815	518	
178	0.00908494	0.00482607	0.0377281	0.059727	0.111659	520	
179	0.00907803	0.00478196	0.0380261	0.059948	0.112125	509	
180	0.0090301	0.00475287	0.038054	0.0601211	0.112252	527	
181	0.00902009	0.00472593	0.0368879	0.0580709	0.108991	471	
182	0.00897884	0.00461602	0.0352831	0.055414	0.104563	451	
183	0.00899291	0.00461698	0.0358021	0.056267	0.105954	467	
184	0.00890708	0.00448895	0.0345712	0.0543718	0.102604	457	
185	0.00889993	0.00450611	0.036334	0.0572639	0.107284	478	
186	0.00887704	0.00451398	0.0355091	0.0556271	0.104801	459	
187	0.00887108	0.00452805	0.0357108	0.0560942	0.10548	430	
188	0.00882697	0.004354	0.032783	0.0511899	0.097404	394	
189	0.008847	0.00440502	0.0337751	0.0529289	0.100215	420	
190	0.00876808	0.00429296	0.032501	0.050694	0.0965042	429	
191	0.00875998	0.00429392	0.0331552	0.051759	0.098222	437	
192	0.00877309	0.00434709	0.0337589	0.052881	0.100021	403	
193	0.00875497	0.00432515	0.0330079	0.051374	0.0977151	430	
194	0.00870609	0.00421596	0.0312569	0.0486341	0.0930521	388	
195	0.0086658	0.00417209	0.031132	0.048461	0.0926669	406	
196	0.0086298	0.00416207	0.0314741	0.049273	0.0937889	414	
197	0.00863099	0.00416017	0.0311539	0.0484321	0.0926142	375	
198	0.00862002	0.00411201	0.0304811	0.047415	0.0908611	386	
199	0.00864291	0.00411701	0.030926	0.0479231	0.0918431	404	
200	0.00862193	0.00412607	0.0318921	0.0497198	0.0946031	381	
201	0.00856996	0.00404215	0.0295339	0.0456891	0.0880601	363	
202	0.00854397	0.00404096	0.0302401	0.0470951	0.0901499	385	
203	0.00857687	0.00401402	0.029552	0.0457189	0.0880859	371	
204	0.00856304	0.00404	0.0296891	0.0459719	0.0884891	375	
205	0.00853992	0.003968	0.029608	0.045989	0.08833	405	
206	0.00850797	0.00390887	0.0287731	0.044482	0.0858898	382	
