Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.025085	0.0288789	0.261504	0.281892	0.597617	
2	0.0253732	0.0300598	0.257872	0.281047	0.594558	
3	0.025255	0.027621	0.215567	0.229893	0.498503	
4	0.026875	0.027812	0.230859	0.246938	0.532664	
5	0.025362	0.0290921	0.226328	0.241025	0.522016	
6	0.0252311	0.029017	0.231599	0.247992	0.534042	
7	0.024806	0.029613	0.220509	0.233935	0.509042	
8	0.0239611	0.027427	0.231902	0.248898	0.53237	
9	0.0248051	0.0283289	0.191512	0.200763	0.445562	
10	0.023612	0.0253699	0.160832	0.168332	0.378271	
11	0.0238202	0.0272739	0.209282	0.22211	0.482657	
12	0.0236239	0.025527	0.211358	0.225414	0.486088	
13	0.025203	0.0261149	0.196605	0.213906	0.461989	
14	0.0283611	0.0274761	0.198005	0.203457	0.457448	
15	0.0238428	0.0271471	0.193571	0.207433	0.452158	
16	0.0309548	0.026366	0.209016	0.217147	0.483786	
17	0.029845	0.030823	0.197467	0.209233	0.467579	
18	0.026325	0.0291572	0.173909	0.182024	0.411554	
19	0.027154	0.0332	0.181909	0.204534	0.447308	
20	0.030726	0.0245411	0.201618	0.215188	0.472464	
21	0.0257499	0.022485	0.188243	0.206478	0.443122	
22	0.0247481	0.0232821	0.183869	0.193815	0.425879	
23	0.0241151	0.022599	0.169822	0.17232	0.389068	
24	0.0248201	0.0243299	0.16077	0.167164	0.377206	
25	0.0242751	0.020438	0.15885	0.165703	0.369387	
26	0.0242419	0.026629	0.172445	0.18064	0.404121	
27	0.0244169	0.021009	0.167068	0.175847	0.388484	
28	0.0246558	0.023324	0.158876	0.167089	0.374068	
29	0.0241292	0.0213289	0.165647	0.173035	0.384264	
30	0.024555	0.02089	0.168302	0.176355	0.39028	
31	0.0242229	0.0240722	0.197064	0.209425	0.454937	
32	0.024076	0.0227191	0.198962	0.200696	0.446697	
33	0.024471	0.0233719	0.203238	0.215243	0.46648	
34	0.0231171	0.0241041	0.217722	0.231548	0.496697	
35	0.0250669	0.027189	0.240388	0.254568	0.547398	
36	0.023433	0.024477	0.252025	0.256815	0.556954	
37	0.0283549	0.027884	0.253532	0.269095	0.579159	
38	0.0239849	0.026648	0.272118	0.275872	0.598828	
39	0.0242441	0.0242641	0.290095	0.295043	0.633864	
40	0.029382	0.0236261	0.29019	0.299208	0.642628	
41	0.024204	0.0283821	0.289494	0.302309	0.644623	
42	0.023622	0.026675	0.294678	0.319205	0.664972	
43	0.0298829	0.0303741	0.275945	0.282653	0.619119	
44	0.0257459	0.025867	0.260557	0.283207	0.595594	
45	0.0255902	0.0263689	0.282629	0.295482	0.630338	
46	0.025404	0.0246251	0.326436	0.344578	0.72135	
47	0.026978	0.0240362	0.320757	0.341357	0.713701	
48	0.029268	0.0272388	0.327116	0.36405	0.748211	
49	0.028229	0.0226049	0.196267	0.199619	0.44687	
50	0.0298879	0.0275311	0.356838	0.391526	0.806097	
51	0.0244401	0.025382	0.304598	0.3192	0.673853	
52	0.025542	0.0278051	0.322939	0.331802	0.708336	
53	0.0238202	0.023555	0.223985	0.230626	0.502159	
54	0.023993	0.0269961	0.397636	0.421338	0.870279	
55	0.0239501	0.0260739	0.347155	0.364641	0.7621	
56	0.0255599	0.027956	0.383264	0.403429	0.840593	
