Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time	Num_features(match)
1	0.0220082	0.022217	0.0186689	0.0778501	0.141095	314	
2	0.0228851	0.022485	0.0216429	0.079792	0.147178	306	
3	0.0235441	0.0215471	0.0165188	0.0637121	0.125596	211	
4	0.022856	0.021503	0.0176432	0.0713589	0.133677	248	
5	0.0230319	0.0237341	0.0173819	0.0679002	0.132399	210	
6	0.027725	0.0209439	0.018141	0.0722451	0.139364	243	
7	0.022717	0.0216739	0.0179961	0.0675211	0.130211	212	
8	0.0238469	0.023922	0.0226331	0.073292	0.144026	224	
9	0.02265	0.0226252	0.0168509	0.0590961	0.121479	183	
10	0.023361	0.0216701	0.015682	0.0510321	0.111977	145	
11	0.0232801	0.0208359	0.017992	0.0673389	0.129758	170	
12	0.0237839	0.022748	0.0185671	0.0684841	0.133881	172	
13	0.0226538	0.0224621	0.0175669	0.0648341	0.127795	182	
14	0.022718	0.0206721	0.0172098	0.0620809	0.122949	155	
15	0.0234771	0.022857	0.0182459	0.0647421	0.12962	140	
16	0.0237961	0.0217271	0.0196939	0.0678432	0.133355	178	
17	0.0223658	0.0215521	0.017359	0.063184	0.124728	164	
18	0.0227461	0.0225821	0.0161328	0.053689	0.115382	155	
19	0.023633	0.0221789	0.016629	0.0546582	0.117344	127	
20	0.0238578	0.0223391	0.017406	0.0592031	0.123065	144	
21	0.0221269	0.0226521	0.0185509	0.060394	0.123995	134	
22	0.0223701	0.0226028	0.0171061	0.059602	0.12193	154	
23	0.02214	0.023165	0.0158439	0.051363	0.112737	137	
24	0.0234919	0.0207131	0.015872	0.049077	0.109477	125	
25	0.0234981	0.022784	0.015594	0.050709	0.112857	134	
26	0.023546	0.0202141	0.016444	0.057034	0.117593	124	
27	0.0224121	0.022099	0.016686	0.054853	0.116288	151	
28	0.023906	0.023083	0.0171189	0.051306	0.115643	132	
29	0.0232329	0.0210891	0.015975	0.0513229	0.111834	115	
30	0.0236909	0.0225651	0.016449	0.0550032	0.117941	118	
31	0.02408	0.0228398	0.017894	0.0653739	0.130497	114	
32	0.0345941	0.028522	0.0213988	0.0688529	0.154083	160	
33	0.0298359	0.0246291	0.0245011	0.0844488	0.163726	156	
34	0.0270789	0.027813	0.0249071	0.0796771	0.159924	167	
35	0.0257859	0.0228651	0.0200229	0.0769551	0.14598	151	
36	0.029211	0.031215	0.036459	0.0827341	0.179996	174	
37	0.0226619	0.0268571	0.029387	0.0946519	0.173914	200	
38	0.0286429	0.0362451	0.0215609	0.0875721	0.174408	171	
39	0.0230439	0.023654	0.02231	0.093519	0.162919	190	
40	0.0235212	0.0209148	0.0236762	0.0907979	0.159307	175	
41	0.0237491	0.019237	0.025512	0.106433	0.175611	168	
42	0.0319691	0.0393388	0.0324662	0.095757	0.199956	184	
43	0.0250621	0.0243409	0.0217571	0.090621	0.162177	166	
44	0.022532	0.0225151	0.0215261	0.097362	0.164491	185	
45	0.031662	0.031492	0.023062	0.098727	0.185495	180	
46	0.0246542	0.0274339	0.035008	0.111862	0.199884	215	
47	0.0263011	0.023206	0.0238228	0.106744	0.180605	212	
48	0.0229201	0.0202229	0.02388	0.111943	0.179428	194	
49	0.0248311	0.0255589	0.0326929	0.0764921	0.160036	155	
50	0.0320899	0.0299392	0.0392189	0.116848	0.218612	230	
51	0.02405	0.0193698	0.023334	0.105479	0.172923	219	
52	0.0334589	0.0256691	0.041333	0.119527	0.220463	220	
53	0.0237761	0.023654	0.020591	0.089505	0.158057	223	
54	0.0242012	0.0236199	0.029917	0.151297	0.229796	244	
55	0.0312839	0.0286822	0.030113	0.125147	0.216203	299	
56	0.032419	0.031502	0.0390849	0.140158	0.243867	287	
57	0.0247512	0.0243528	0.023097	0.099102	0.17175	201	
58	0.0235109	0.020797	0.0236449	0.107221	0.175702	233	
59	0.0244	0.0202842	0.03725	0.18088	0.263622	277	
60	0.024771	0.025908	0.033977	0.166052	0.251436	306	
61	0.023746	0.0235	0.0414231	0.204061	0.293919	332	
62	0.0303419	0.031677	0.0542581	0.217501	0.336557	332	
63	0.0325699	0.0292051	0.052901	0.224119	0.340092	305	
64	0.0321629	0.0259421	0.0583599	0.231268	0.34904	352	
65	0.0313089	0.042239	0.0438771	0.221227	0.339968	353	
66	0.02423	0.0239429	0.0448182	0.229497	0.32374	359	
67	0.0259199	0.0269799	0.0570421	0.239107	0.350211	376	
68	0.02654	0.023349	0.042635	0.221982	0.3156	384	
69	0.024298	0.0415521	0.042114	0.219693	0.328838	391	
