Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.0224988	0.020355	0.0171731	0.039547	0.0997808	
2	0.023169	0.023371	0.0152211	0.0296319	0.091599	
3	0.023402	0.0217559	0.0133221	0.024802	0.0835459	
4	0.0239098	0.0221901	0.014061	0.0266302	0.0869739	
5	0.0240979	0.0229709	0.0139651	0.026782	0.087991	
6	0.023916	0.0236399	0.0146282	0.0262859	0.0886531	
7	0.024159	0.0219491	0.0160031	0.025944	0.0882292	
8	0.0239	0.023628	0.01492	0.0260839	0.088716	
9	0.024416	0.024153	0.0137949	0.021646	0.084161	
10	0.0237939	0.023315	0.0125082	0.0187469	0.07849	
11	0.0247669	0.023078	0.014648	0.0234981	0.0861578	
12	0.0237081	0.0219929	0.0136321	0.0245111	0.0840352	
13	0.0238719	0.0213292	0.013685	0.022471	0.0815251	
14	0.023731	0.0260391	0.014189	0.0226681	0.0870092	
15	0.0293779	0.0216372	0.0141189	0.0227041	0.0880051	
16	0.0252631	0.0186961	0.0136349	0.0229762	0.080729	
17	0.0245888	0.0220561	0.0139189	0.0223999	0.083118	
18	0.023515	0.0209739	0.0122931	0.0194421	0.07636	
19	0.025969	0.0231299	0.0131161	0.0199718	0.0823381	
20	0.0236158	0.020535	0.0129611	0.0219791	0.079246	
21	0.0245931	0.018249	0.0127079	0.0227311	0.0784662	
22	0.025161	0.0235999	0.0138671	0.024415	0.0872719	
23	0.024549	0.0173068	0.012464	0.01967	0.0741189	
24	0.0228989	0.0205932	0.012028	0.0182121	0.0738871	
25	0.023221	0.0209661	0.0114729	0.0177579	0.0735419	
26	0.0226769	0.0184212	0.0130429	0.0195551	0.0738931	
27	0.0233958	0.0217531	0.011687	0.0192041	0.07617	
28	0.022723	0.0223501	0.01262	0.0180991	0.075918	
29	0.0227659	0.020298	0.0117612	0.018213	0.073174	
30	0.0240231	0.0217969	0.0127501	0.021328	0.0800281	
31	0.024138	0.0184541	0.0125208	0.0223899	0.0776589	
32	0.0241771	0.022145	0.0134158	0.0229199	0.0829501	
33	0.024184	0.022665	0.0133839	0.0231831	0.083627	
34	0.024806	0.0251079	0.014169	0.0246611	0.088969	
35	0.0275109	0.02197	0.0153279	0.0269871	0.0920298	
36	0.0249631	0.030118	0.0158229	0.0287998	0.100004	
37	0.026818	0.0243039	0.019454	0.0295019	0.100424	
38	0.026391	0.0215631	0.0151041	0.0295489	0.0928161	
39	0.024344	0.024334	0.0156531	0.03176	0.09635	
40	0.0289221	0.023211	0.0170569	0.0323658	0.101799	
41	0.024524	0.0220618	0.017801	0.033319	0.0979369	
42	0.025485	0.0215759	0.0178952	0.033854	0.099045	
43	0.02548	0.023016	0.016613	0.029959	0.095346	
44	0.0247381	0.0237191	0.0150208	0.0297849	0.093544	
45	0.0261111	0.0250959	0.0165761	0.0319941	0.100163	
46	0.026612	0.025702	0.018822	0.0362589	0.107659	
47	0.0251842	0.0223808	0.0167141	0.035984	0.100585	
48	0.0236928	0.0244012	0.017278	0.036443	0.102071	
49	0.0236318	0.0204852	0.0126181	0.0222728	0.0791559	
50	0.0252659	0.0207279	0.0191801	0.038415	0.103867	
51	0.0246119	0.0232439	0.023416	0.0332031	0.104799	
52	0.0237689	0.0237181	0.01666	0.034966	0.0994511	
53	0.0237789	0.0223031	0.0140059	0.0248241	0.085103	
54	0.0241911	0.022774	0.0205059	0.0448349	0.112742	
55	0.0247221	0.026866	0.0195041	0.0437269	0.115231	
56	0.0266671	0.0225348	0.01949	0.042789	0.111999	
57	0.0262182	0.0233829	0.0146129	0.0278919	0.0923471	
58	0.0252001	0.023463	0.015022	0.029829	0.093847	
59	0.0245728	0.022089	0.0254171	0.0594771	0.132207	
60	0.025053	0.025605	0.0229189	0.0533328	0.127298	
61	0.02458	0.02546	0.0285401	0.0693579	0.148514	
62	0.024631	0.02475	0.0240211	0.060967	0.135049	
63	0.0251689	0.022922	0.0299931	0.0734401	0.152209	
64	0.024967	0.0256109	0.028331	0.07354	0.153114	
65	0.0253711	0.024076	0.0304489	0.0750082	0.155526	
66	0.0254998	0.0248921	0.028374	0.0749402	0.154564	
67	0.025861	0.0250001	0.0303159	0.0749059	0.156714	
68	0.0252371	0.025249	0.030669	0.0774839	0.159435	
69	0.0255179	0.02526	0.0277121	0.074105	0.153317	
70	0.0261409	0.0264091	0.0283358	0.0731468	0.154633	
71	0.0274651	0.0262179	0.0282121	0.0727079	0.155365	
72	0.0257092	0.0245678	0.02934	0.0767038	0.157164	
73	0.0260599	0.026336	0.0285051	0.075304	0.156959	
74	0.0256259	0.0240691	0.028424	0.075484	0.154384	
75	0.025193	0.0253282	0.0311198	0.0773129	0.159636	
76	0.026052	0.0245941	0.0315549	0.080153	0.163022	
77	0.026181	0.0238631	0.0319519	0.080755	0.163429	
78	0.025353	0.0257349	0.0298619	0.0802369	0.161893	
79	0.024914	0.0251582	0.0321128	0.0806549	0.163606	
80	0.025281	0.0245221	0.033047	0.081672	0.165153	
81	0.0251231	0.0240021	0.0323918	0.0835168	0.165669	
82	0.024246	0.0245781	0.0297189	0.0819731	0.161285	
83	0.0245781	0.0245209	0.030103	0.0844948	0.164414	
84	0.0243101	0.0237491	0.0290809	0.079308	0.157034	
85	0.0252769	0.024183	0.02999	0.0826979	0.162784	
86	0.024313	0.024785	0.0295949	0.0804589	0.159766	
87	0.024266	0.026674	0.0302169	0.0832422	0.165029	
88	0.0248139	0.0226161	0.029974	0.082967	0.161114	
89	0.0244839	0.0240982	0.030169	0.081933	0.161306	
90	0.0243471	0.0252321	0.0326059	0.0846021	0.167431	
91	0.0246539	0.024338	0.031662	0.0838251	0.165134	
92	0.02473	0.0249341	0.0301499	0.0833931	0.163879	
93	0.024441	0.0240171	0.0306611	0.0793529	0.15908	
94	0.024349	0.0243881	0.030025	0.0834289	0.162819	
95	0.0256019	0.0247681	0.0300729	0.0821481	0.16322	
96	0.0247691	0.0261121	0.0305078	0.0835488	0.165565	
97	0.0250268	0.0252831	0.032727	0.0849631	0.168635	
98	0.0245981	0.024631	0.0298579	0.0831439	0.162883	
99	0.025332	0.025363	0.030575	0.0806551	0.162535	
100	0.024678	0.0246582	0.0293589	0.0799801	0.1593	
101	0.025207	0.022589	0.028851	0.07815	0.155384	
102	0.0244529	0.0263989	0.028686	0.0747912	0.154937	
103	0.0247002	0.024842	0.028549	0.075748	0.154409	
104	0.024404	0.0225029	0.0285931	0.0757542	0.151818	
105	0.024529	0.0250931	0.0292599	0.0783422	0.157814	
106	0.0245919	0.024255	0.0291839	0.0798829	0.158519	
107	0.024637	0.0262179	0.028806	0.0778072	0.15816	
108	0.0243909	0.0241442	0.0286219	0.0751131	0.152907	
109	0.024282	0.023195	0.0273242	0.0740089	0.149424	
110	0.0243499	0.02422	0.027184	0.0732841	0.14965	
111	0.0242639	0.025054	0.027714	0.0741282	0.151875	
112	0.0266879	0.024756	0.0277512	0.0720389	0.151856	
113	0.0253909	0.022079	0.0281031	0.0755091	0.151716	
114	0.0257339	0.025425	0.0281701	0.073957	0.154049	
115	0.0264978	0.025629	0.028928	0.074688	0.156299	
116	0.026603	0.0246489	0.0277641	0.07042	0.150011	
117	0.0263021	0.0241518	0.0290072	0.0781469	0.15835	
118	0.0265751	0.022857	0.02845	0.0715599	0.150095	
119	0.026489	0.024205	0.0282712	0.07409	0.15376	
120	0.0262229	0.0261021	0.0250349	0.0622292	0.140438	
121	0.028296	0.0207829	0.0237472	0.056138	0.129381	
