Frame#	Read_time	Detector_time	Extractor_time	Matcher_time	Total_time
1	0.00719309	0.00264096	0.012213	0.010807	0.032918	
2	0.00771999	0.00274706	0.0118859	0.010236	0.0326529	
3	0.00771499	0.00292301	0.0097301	0.0083611	0.02878	
4	0.00777912	0.00254297	0.0104458	0.00881314	0.0296361	
5	0.00788307	0.00264502	0.0105989	0.00908494	0.030273	
6	0.00771213	0.00259686	0.01038	0.00890899	0.0296531	
7	0.00764203	0.00260782	0.01019	0.00735712	0.0278499	
8	0.00760102	0.00254607	0.00922394	0.00747395	0.0268991	
9	0.00775313	0.00240278	0.00814915	0.00645804	0.0248091	
10	0.0075891	0.00232887	0.00708413	0.0052669	0.0223081	
11	0.00756907	0.00249004	0.00999999	0.00714707	0.027256	
12	0.00757289	0.00247502	0.00876093	0.00731111	0.02617	
13	0.00763297	0.00240302	0.00822806	0.0087831	0.0270941	
14	0.00761485	0.00255299	0.009022	0.00704098	0.026278	
15	0.00759315	0.002455	0.00816393	0.00642204	0.0246801	
16	0.00757813	0.00261903	0.00845098	0.00869679	0.0273931	
17	0.008641	0.00243497	0.00952005	0.00753903	0.028183	
18	0.0075891	0.00233889	0.0078671	0.00577998	0.023617	
19	0.00775003	0.00246	0.00814486	0.00644803	0.024847	
20	0.0078609	0.00241113	0.0144269	0.0074501	0.0321939	
21	0.00757504	0.0026958	0.00867319	0.00722098	0.0262089	
22	0.00762916	0.00247002	0.00886583	0.00612712	0.0251372	
23	0.00750995	0.00232005	0.0071559	0.00539589	0.0224209	
24	0.0075748	0.00226712	0.00799394	0.00659013	0.0244648	
25	0.007514	0.00226998	0.00694609	0.00547194	0.022239	
26	0.00744605	0.002321	0.00715089	0.00540519	0.022361	
27	0.00748587	0.00230598	0.00718117	0.00539994	0.022413	
28	0.00749397	0.00229216	0.00732183	0.00506616	0.0222111	
29	0.00751901	0.00228691	0.00724292	0.00585914	0.0229468	
30	0.00746393	0.00234008	0.00737095	0.00555301	0.022768	
31	0.00765896	0.00246119	0.00862384	0.00649714	0.0252872	
32	0.00776696	0.00252318	0.00967789	0.0074091	0.0274251	
33	0.00752306	0.00244784	0.00890207	0.00666094	0.0255821	
34	0.00759602	0.00250411	0.00945282	0.00750899	0.0271161	
35	0.00764084	0.00251818	0.00975895	0.00830007	0.028276	
36	0.00762105	0.00262094	0.0100501	0.0085969	0.0289509	
37	0.007581	0.00261593	0.00992489	0.00845718	0.0286369	
38	0.00767612	0.00261092	0.0104442	0.00896406	0.0297582	
39	0.00771904	0.00264597	0.0108781	0.00971293	0.031023	
40	0.00780797	0.00262094	0.011008	0.0095191	0.0310218	
41	0.00781488	0.00269818	0.0116448	0.0102031	0.0324321	
42	0.00778198	0.00273108	0.0115368	0.010072	0.0321929	
43	0.00777984	0.00264597	0.0109341	0.00939298	0.0308189	
44	0.00784993	0.00258923	0.0104079	0.00872588	0.029633	
45	0.00793099	0.00266099	0.010741	0.009238	0.030637	
46	0.00795507	0.00274205	0.0129719	0.0115249	0.035284	
47	0.00787497	0.0028019	0.0125589	0.0104601	0.0337708	
48	0.00790405	0.00278783	0.0130131	0.0108681	0.034651	
49	0.00775695	0.00242901	0.00794411	0.00595188	0.0241251	
50	0.00798392	0.00285006	0.0137701	0.011646	0.0363441	
51	0.00789595	0.00269198	0.0120099	0.00996804	0.0326378	
52	0.00795698	0.00278306	0.012742	0.0105739	0.034132	
